energy,eff
2.3031320587069986, 83.32210062194926
3.007882518043096, 91.8567199664288
6.112683139768707, 100.38186925836573
13.503140378698715, 80.45160232581146
1.3169376605490744, 50.51263285328237
1.0824810189860699, 30.203385482563633
0.808367222743829, 6.2453381815494255
0.7530288136174584, 3.0472078886999907
0.6869996593898885, 1.1443035505861787
17.85712728218034, 51.03746449510495
27.556077106128047, 19.374008224543335
35.98814157443626, 10.222564030207078
49.619476030029084, 5.13921122574119
69.85586883093745, 3.046726232306451
91.23152354418238, 2.334986127151196
11.00694171252208, 94.82635942020255
1.8386232754447134, 77.0670885759395
1.8852212170408702, 72.01404369964014
0.7343557631680725, 2.5515093580320203
0.754199954461779, 3.2885595613275793
0.7745803871085888, 4.22213443740406
0.7955115517362404, 5.4207378261127745
0.8115802806250406, 6.643428136565736
0.833511278033496, 7.970399116838887
0.8560349076914165, 9.488629623311798
0.8791671840543536, 11.29605817833855
0.9029245543298418, 13.38281870978869
0.9335260821538862, 16.23857580742688
0.9716200045506495, 19.65952816208775
1.0112684061969086, 23.556587345797396
1.0595743328232086, 28.797124563398057
1.1176129310238498, 34.41748496331801
1.1867149272472313, 41.24703862574823
1.277001447665881, 49.00740307551525
1.4019139900776043, 58.14388504737338
1.5954542019629077, 69.14050769792472
1.8452688244788644, 74.80974536822245
2.13356697404358, 80.0856890086044
2.47056479731289, 86.56314469198095
2.8607915720376216, 91.35074073668277
3.317565602105319, 95.23377367068444
3.7474311297197547, 97.62394089626831
4.336447860678183, 99.10194501376867
4.941696863860324, 100.3655530641905
7.985755308808923, 98.92241563937651
10.425957302589897, 96.50009480776956
12.072741752863195, 89.14566805360765
13.886758437164366, 76.57772228631696
15.55306033560653, 64.90885983781172
17.074415156585452, 54.68797416029594
18.620048952421875, 46.203531164856635
20.170692161036037, 38.769350728881314
21.705299645817657, 33.09859995209162
23.356661682874787, 27.866010473965385
25.30176123159201, 23.352179589400656
27.226745850571202, 19.645186401311175
29.10353368360587, 16.698007830632793
31.10969182734744, 14.105277842488636
33.47654991760766, 11.8477940651422
36.264415025278026, 9.852029887721441
39.28444837841263, 8.277511902873472
42.84060948306098, 6.796211735288852
46.718686315795814, 5.716467225342593
50.94781977685762, 4.867158085848388
56.305469291009956, 4.110462958906591
63.061683190518515, 3.4855167200027486
72.05523351699746, 2.950309066627277
83.43638871193804, 2.532976296957815
92.21052133239222, 2.3261497170435645
